code	name	native
ABX	Abxaz	Aҧсшәа
AFR	Afrikaans	Afrikaans
AKA	Akan	Akan
AMA	Amharic	ኣማርኛ
ARA	Arabic	العربية
ASA	Assamese	অসমীয়া
AVA	Avar	Авар
AYM	Aymara	Aymar
AZE	Azerbaijani	Azərbaycanca
BAM	Bambara	Bamanankan
BAN	Bengali	বাংলা
BAS	Bashkir	Башҡорт
BEL	Belarussian	Беларуская
BIS	Bislama	Bislama
BOS	Bosnian	Босански
BRE	Breton	Brezhoneg
BUL	Bulgarian	Български
CAT	Catalan	Català
CEB	Cebuano	Sinugboanon
CES	Czech	Český
CHA	Chamorro	Chamoru
CHR	Church Slavonic	Словѣ́ньскъ
CHS	Chuvash	Чӑвашла
COR	Cornish	Kernewek
COS	Corsican	Corsu
CYM	Chymraeg	Cymraeg
DAN	Danish	Dansk
DEU	German	Deutsch
DHI	Dhivehi	ދިވެހި
DIG	Digoron	Дигорон
DZO	Dzongkha	རྫོང་ཁ
ELL	Ellinic	Ελληνικά
ENG	English	English
ESO	Esperanto	Esperanto
ESP	Spanish	Español
EST	Estonian	Eesti
EUS	Euskara	Euskara
EWE	Ewe	Èʋe
FAO	Faroese	Føroyskt
FAR	Farsi	فارسی
FIL	Filipino	Filipino
FRA	French	Français
FRI	Friulian	Furlan
FRY	Frisian	Frysk
FUL	Fula	Fulfulde
GAE	Gaelic	Gaeilge
GAI	Scottish Gaelic	Gàidhlig
GAL	Galician	Galego
GUA	Guarani	Avañe'ẽ or Javy ju
GUJ	Gujarati	ગુજરાતી
HAN	Hangugo	한국어
HAU	Hausa	حَوْسَ
HAY	Hayeren	Հայերեն
HER	Herero	Otjiherero
HIN	Hindi	हिन्दी
HIR	Hiri Motu	Hiri Motu
HRV	Croatian	Hrvatski
IGB	Igbo	Asụsụ Igbo
IND	Indonesian	Bahasa Indonesia
INK	Inuktitut	ᐃᓄᒃᑎᑐᑦ
INP	Inupiaq	Iñupiatun
INT	Interlingua	Interlingua
ISL	Icelandic	Íslenska
ITA	Italian	Italiano
IVR	Ivrit	עברית
JAV	Javanese	ꦧꦱꦗꦮ
KAL	Kalaallisut	Kalaallisut
KAN	Kannada	ಕನ್ನಡ
KAR	Kartuli	ქართული
KAS	Kashmiri	كٲشُر
KAU	Kanuri	Kanuri
KAZ	Kazakh	Қазақ
KHM	Khmer	ភាសាខ្មែរ
KIK	Kikuyu	Gĩkũyũ
KIL	Kiluba	Kiluba
KIN	Kinyarwanda	Ikinyarwanda
